Species,Extinction_Year
zebra,
camelopardalis,
versicolor,
arvensis,
brachyrhynchus,
leucopsis,
rufocanus,
bobak,
arctos,
pseudoharengus,
clupeaformis,
nerka,
flavescens,
namaycush,
americana,
lucius,
tyrannus,
morhua,
campechanus,
aeglefinus,
maximus,
sagax,
gladius,
torda,
interpres,
marila,
alpina,
arctica,
nilotica,
ostralegus,
argentatus,
canus,
fuscus,
ridibundus,
limosa,
aristotelis,
pugnax,
tridactyla,
caspia,
sandvicensis,
totanus,
vanellus,
pusillus,
fimbria,
stenolepis,
auratus,
vetulus,
japonicus,
alutus,
americanus,
arborea,
artedi,
canadensis,
tshawytscha,
africana,
catodon,
glareolus,
fuscata,
sylvanus,
nisus,
caudatus,
pratensis,
familiaris,
ciconia,
oenas,
palumbus,
corone,
monedula,
minor,
schoeniclus,
rubecula,
coelebs,
glandarius,
oenanthe,
ater,
caeruleus,
colchicus,
collybita,
trochilus,
pica,
viridis,
modularis,[2041]
namaqua,[2032]
rusticola,
vulgaris,
atricapilla,
borin,
merula,
viscivorus,
gorbuscha,
salar,
sylvaticus,
alba,
falcinellus,
ibis,
carbo,
leucorodia,
anser,
marinus,
albicilla,
pectinata,
bubo,
ibex,
tigris,
rhina,
roseus,
bassanus,
richardsoni,
macropterus,
fiber,
caerulescens,
elongatus,
brevispinis,
bilineata,
unicornis,
obesus,
albacares,
mystinus,
telescopus,
pelamis,
fasciatus,
hippoglossus,
dumerili,
maculatus,
alalunga,
antarctica,
dentex,
atlanticus,
melanops,
stomias,
melanostomus,
pinniger,
crameri,
pacificus,
chlorostictus,
jordani,
alascanus,
diploproa,
suckleyi,
entomelas,
ruberrimus,
paradoxus,
capensis,
flindersi,
aurorubens,
levis,
maccoyii,
paucispinis,
goodei,
carcharias,
michahellis,
clavata,
glaucescens,
lupus,
lynx,
ascanius,
mitis,
guereza,
troglodytes,
rupicapra,
nasus,
zygaena,
glauca,
parmifera,
binoculata,
auriculatus,
pectoralis,
bonasus,
